15.24,20.00
79.75,80.00
16.72,20.00
0.33,10.00
80.36,90.00
66.94,70.00
65.44,70.00
72.17,80.00
94.3,100.00
69.08,70.00
94.06,100.00
19.42,20.00
48.65,50.00
95.24,100.00
56.78,60.00
22.72,30.00
20.87,30.00
50.68,60.00
74.93,80.00
23.98,30.00
59.12,60.00
99.35,100.00
1.63,10.00
94.47,100.00
58.36,60.00
64.25,70.00
72.2,80.00
67.1,70.00
42.72,50.00
13.85,20.00
5.67,10.00
21.53,30.00
16.6,20.00
87.61,90.00
7.36,10.00
82.12,90.00
0.76,10.00
18.71,20.00
73.27,80.00
44.85,50.00
54.36,60.00
24.34,30.00
28.29,30.00
0.54,10.00
15.66,20.00
42.02,50.00
25.26,30.00
93.81,100.00
51.21,60.00
88.58,90.00
30.09,40.00
35.62,40.00
48.47,50.00
73.54,80.00
8.96,10.00
20.68,30.00
39.63,40.00
53.12,60.00
41.08,50.00
39.02,40.00
83.48,90.00
8.5,10.00
72.65,80.00
45.55,50.00
77.28,80.00
58.03,60.00
68.84,70.00
55.22,60.00
9.38,10.00
61.69,70.00
34.17,40.00
50.85,60.00
22.34,30.00
47.53,50.00
86.98,90.00
82.7,90.00
96.3,100.00
35.39,40.00
43.75,50.00
28.8,30.00
51.12,60.00
58.44,60.00
28.14,30.00
95.55,100.00
77.27,80.00
14.89,20.00
6.29,10.00
90.69,100.00
52.31,60.00
64.13,70.00
85.09,90.00
46.69,50.00
52.67,60.00
22.98,30.00
21.55,30.00
64.24,70.00
18.8,20.00
4.48,10.00
76.6,80.00
31.3,40.00
